event_name,lineup,event_link,event_date
 / DIET CIG | SPOOK SCHOOL,"Spook School,Diet Cig",http://berghain.de/event/2080,Thursday 05 October 2017
 / LEA W. FREY & BAND,Lea W. Frey & Band,http://berghain.de/event/2142,Tuesday 31 October 2017
 / MUSIC POOL ABEND: ZUSAMMENARBEIT VON KÜNSTLER/INNEN MIT MARKEN,"Aleksandra Skwarc,Lorenz Grünewald-Schukalla,Maral Salmassi,Michail Stangl,Sarah Farina,Andrea Goetzke",http://berghain.de/event/2166,Wednesday 04 October 2017
 / KIRIN J. CALLINAN | BEA1991,"BEA1991,Kirin J. Callinan",http://berghain.de/event/2148,Sunday 01 October 2017
 / LEYYA | CARI CARI,"Leyya,Cari Cari",http://berghain.de/event/2076,Monday 30 October 2017
 / NICOLA CRUZ,"Nicola Cruz,DJ Baby Vulture",http://berghain.de/event/2082,Friday 27 October 2017
 / FINEST FRIDAY,"DJ Harvey,Hunee",http://berghain.de/event/2158,Friday 27 October 2017
 / THE WEDDING PRESENT | PRECIOUS FEW,"Precious Few,The Wedding Present",http://berghain.de/event/2074,Saturday 28 October 2017
 / KLUBNACHT,"ANFS,Karenn,Answer Code Request,Aurora Halal,Fiedel,Kobosil,Noncompliant,Norman Nodge,Sawf,Âme,Carlos Valdes,Domenic,Gerd Janson,Jackie House,Midland,Sevensol,Trikk",http://berghain.de/event/2159,Saturday 28 October 2017
 / SWANS | BABY DEE,"Swans,Baby Dee",http://berghain.de/event/2051,Friday 27 October 2017
 / SWANS | BABY DEE,"Swans,Baby Dee",http://berghain.de/event/2050,Thursday 26 October 2017
 / BLOND,Blond,http://berghain.de/event/2199,Tuesday 24 October 2017
 / CHAD VANGAALEN | MAUNO,"Mauno,Chad Vangaalen",http://berghain.de/event/2078,Sunday 22 October 2017
 / HESS IS MORE | SCOPE FESTIVAL,Hess Is More,http://berghain.de/event/2170,Thursday 26 October 2017
 / FÙGÙ MANGO,Fùgù Mango,http://berghain.de/event/2095,Monday 23 October 2017
 / SARTHY KORWAR ,Sarathy Korwar,http://berghain.de/event/2198,Wednesday 25 October 2017
